Unique_ID,Sample,Type,Site,LTER_Site,Depth,Replicate,Core,Date,Group,Group_2,Group_3,Environment,perc_OM,d15N,perc_OrgN,d13C,perc_OrgC,C/N,Lambda,Sigma8,S,V,C,P,S/V,C/V,P/(V+S),Bd/V,Ac/Ads,Ac/Adv,Cumulative_3.900um,Cumulative_31.000um,Cumulative_62.500um,Cumulative_125.000um,Diameter_5.00%,Diameter_7.00%,Diameter_10.00%,Diameter_16.00%,Diameter_50.00%,Diameter_84.00%,Diameter_90.00%,Diameter_95.00%,Diameter_98.00%,perc_Clay,perc_Silt,perc_Sand
324,757M,MarineRunoff,AHND,AHND,10,1,B,6/5/17,J,M,1,Reef,1.6,3.57,0.04,-22.51,0.38,10.07,1.44,0.54,1.08,0.34,0.02,0.11,3.16,0.05,0.07,0.69,0.32,0.28,2.69,11.57,17.87,61.05,NA,15.38,NA,56.35,109.98,NA,199.67,253.37,344.59,2.69,15.18,82.13
325,758M,MarineRunoff,AHND,AHND,10,3,T,6/5/17,J,M,1,Reef,1.4,4.03,0.04,-22.44,0.37,9.33,2.63,0.96,2.05,0.55,0.04,0.13,3.74,0.07,0.05,0.35,0.28,0.21,3.91,19.36,31.69,76.48,NA,8.07,NA,23.6,88.05,NA,157.45,181.43,209.82,3.91,27.78,68.31
326,759M,MarineRunoff,AHND,AHND,10,4,B,6/5/17,J,M,1,Reef,1.01,3.12,0.03,-22.03,0.32,10.99,0.86,0.28,0.66,0.2,NA,NA,3.32,NA,NA,0.67,0.25,0.21,0,0,4.32,51.76,NA,68.32,NA,82.71,122.8,NA,221.58,289.6,392.76,0,4.32,95.68
327,761M,MarineRunoff,AHND,AHND,10,3,B,6/5/17,J,M,1,Reef,1.76,3.38,0.04,-23.12,0.45,12.34,1.06,0.48,0.73,0.31,0.02,NA,2.39,0.06,NA,0.59,NA,0.25,2.9,11.78,18.13,61.77,NA,14.56,NA,55.76,109.02,NA,197.27,246.25,356.64,2.9,15.23,81.87
328,765M,MarineRunoff,AHND,AHND,10,1,T,6/5/17,J,M,1,Reef,1.27,3.15,0.03,-20.83,0.2,7.32,0.55,0.11,0.46,0.09,NA,NA,5.4,NA,NA,1.79,NA,0,16.93,81.72,99.2,100,NA,2.11,NA,3.7,11.93,NA,40.45,48.23,56.24,16.93,82.27,0.8
329,766M,MarineRunoff,AHND,AHND,10,2,T,6/5/17,J,M,1,Reef,1.13,4.74,0.03,-21.43,0.25,7.94,0.61,0.15,0.44,0.14,0.03,NA,3.25,0.18,NA,1.2,NA,0.3,22.41,93.89,99.94,100,NA,1.86,NA,2.99,8.97,NA,26.5,33.37,39.87,22.41,77.53,0.06
330,767M,MarineRunoff,AHND,AHND,10,2,B,6/5/17,J,M,1,Reef,1.22,3.28,0.03,-22.72,0.36,10.79,1.07,0.39,0.85,0.19,0.04,NA,4.52,0.19,NA,1.58,0.28,0.21,0,0,4.18,52.52,NA,68.45,NA,82.54,121.91,NA,214.73,276.66,380.76,0,4.18,95.82
331,768M,MarineRunoff,AHND,AHND,20,1,T,6/5/17,J,M,1,Reef,1.27,4.14,0.04,-22.59,0.44,10.34,1.71,0.76,1.25,0.43,0.03,NA,2.87,0.07,NA,0.5,0.25,0.24,3.67,15.87,27.75,80.4,NA,9.75,NA,31.64,87.66,NA,146.03,165.35,187.11,3.67,24.08,72.25
332,769M,MarineRunoff,AHND,AHND,20,1,B,6/5/17,J,M,1,Reef,1.39,4.49,0.05,-23.25,0.59,12.27,2.7,1.6,2.02,0.65,0.03,0.12,3.13,0.05,0.04,0.37,0.27,0.22,4.02,16.2,27.17,79.8,NA,8.8,NA,30.84,88.43,NA,147.37,167.08,189.53,4.02,23.15,72.83
333,770M,MarineRunoff,AHND,AHND,20,2,T,6/5/17,J,M,1,Reef,1.22,4.12,0.05,-22.96,0.52,11.56,2.15,1.12,1.64,0.45,0.06,NA,3.65,0.14,NA,0.61,0.28,0.26,3.9,17.14,30.18,82.79,NA,8.81,NA,27.67,84.34,NA,141.64,160.04,179.84,3.9,26.28,69.82
334,771M,MarineRunoff,AHND,AHND,20,2,B,6/5/17,J,M,1,Reef,1.34,4.58,0.04,-22.78,0.49,10.98,2.01,0.99,1.44,0.54,0.03,NA,2.66,0.05,NA,0.47,NA,0.23,3.96,15.96,26.47,79.69,NA,8.95,NA,32.32,89.02,NA,147.16,166.45,188.5,3.96,22.52,73.53
335,772M,MarineRunoff,AHND,AHND,20,3,T,6/5/17,J,M,1,Reef,1.39,4.9,0.05,-22.58,0.55,11.92,2.03,1.11,1.45,0.55,0.03,NA,2.63,0.05,NA,0.43,NA,0.19,4.73,17.71,29.66,82.63,NA,7.15,NA,26.06,85.01,NA,141.8,160.05,179.76,4.73,24.92,70.34
336,773M,MarineRunoff,AHND,AHND,20,3,B,6/5/17,J,M,1,Reef,1.08,3.67,0.04,-22.48,0.54,12.33,2.37,1.27,1.58,0.72,0.07,0.17,2.19,0.1,0.07,0.5,NA,0.24,3.82,15.32,25.51,79.42,NA,9.63,NA,35.82,89.74,NA,147.46,166.59,188.32,3.82,21.7,74.49
337,774M,MarineRunoff,AHND,AHND,20,4,T,6/5/17,J,M,1,Reef,1.44,4.78,0.05,-21.96,0.45,9.49,0.79,0.36,0.52,0.24,0.03,NA,2.14,0.11,NA,0.39,NA,0.26,4.2,17.22,28.12,79.58,NA,8.02,NA,27.17,88.19,NA,147.58,167.83,191.9,4.2,23.92,71.88
338,775M,MarineRunoff,AHND,AHND,20,4,B,6/5/17,J,M,1,Reef,1.26,4.48,0.04,-22.2,0.44,10.77,1.31,0.58,0.86,0.43,0.02,NA,2.01,0.05,NA,0.24,NA,0.18,4.73,19.3,31.42,82.43,NA,6.73,NA,22.75,84.04,NA,142.56,161.15,180.99,4.73,26.7,68.58
339,744M,Marine,AQUE,AQUE,10,1,T,6/5/17,J,N,1,Reef,1.25,4.51,0.04,-22.21,0.36,9,1.09,0.39,0.73,0.33,0.03,NA,2.24,0.1,NA,0.62,0.49,0.24,0,0,5.8,56.88,NA,64.51,NA,77.83,116.42,NA,214.21,289.59,396.89,0,5.8,94.2
340,745M,Marine,AQUE,AQUE,10,2,T,6/5/17,J,N,1,Reef,1.32,4.24,0.04,-21.23,0.31,7.86,1.56,0.49,1.23,0.3,0.04,0.09,4.16,0.12,0.06,0.59,0.31,0.23,0,0,7.55,61.28,NA,61.24,NA,74.38,111.28,NA,196.87,250.45,371.23,0,7.55,92.45
341,746M,Marine,AQUE,AQUE,10,3,T,6/5/17,J,N,1,Reef,1.14,3.92,0.04,-21.18,0.29,7.84,1.05,0.3,0.86,0.17,0.02,0.08,5.11,0.11,0.08,0.94,0.3,0.22,0,0,6.85,64.21,NA,62.62,NA,74.83,109.16,NA,175.97,199.68,229.15,0,6.85,93.15
342,747M,Marine,AQUE,AQUE,10,1,B,6/5/17,J,N,1,Reef,1.21,3.82,0.03,-21.24,0.21,7.38,0.39,0.08,0.33,0.06,NA,NA,5.22,NA,NA,2.95,0,0,3.17,13.51,21.46,67.35,NA,12.1,NA,44.72,101.82,NA,181.14,217.76,289.43,3.17,18.28,78.54
343,748M,Marine,AQUE,AQUE,10,2,B,6/5/17,J,N,1,Reef,1.45,4.12,0.05,-23.49,0.55,12.03,2.09,1.15,1.61,0.44,0.03,NA,3.62,0.07,NA,0.61,0.3,0.19,2.79,12.18,19.61,64.83,NA,14.28,NA,52.63,104.68,NA,193.89,248.52,356.98,2.79,16.82,80.39
344,749M,Marine,AQUE,AQUE,10,3,B,6/5/17,J,N,1,Reef,1.23,3.68,0.04,-22.47,0.35,9.65,2.35,0.83,1.65,0.67,0.03,0.15,2.45,0.05,0.06,0.32,0.24,0.2,2.85,12.28,19.86,64.6,NA,14,NA,52.13,104.54,NA,198.55,262.71,375.21,2.85,17.01,80.14
345,750M,Marine,AQUE,AQUE,10,4,B,6/5/17,J,N,1,Reef,1.58,3.22,0.06,-24.18,0.87,14.78,1.24,1.08,1.03,0.21,NA,NA,5.01,NA,NA,1.15,0.33,0.21,2.83,12.78,20.79,63.36,NA,13.18,NA,48.35,105.36,NA,206.75,280.47,388.93,2.83,17.96,79.21
346,753M,Marine,AQUE,AQUE,10,4,T,6/5/17,J,N,1,Reef,1.01,4.09,0.04,-20.9,0.3,8.26,0.97,0.29,0.75,0.2,0.02,NA,3.74,0.11,NA,NA,NA,0.23,0,0,6.79,59.91,NA,62.8,NA,75.7,112.9,NA,200.02,257.91,375.56,0,6.79,93.21
347,781M,Marine,AQUE,AQUE,20,4,B,6/5/17,J,N,1,Reef,1.19,3.47,0.04,-22.62,0.39,10.35,0.68,0.27,0.44,0.23,0.01,NA,1.89,0.06,NA,0.37,NA,0.22,3.23,13.38,23.27,77.78,NA,12.35,NA,46.18,91.93,NA,150.57,170.92,195.59,3.23,20.04,76.73
348,784M,Marine,AQUE,AQUE,20,3,T,6/5/17,J,N,1,Reef,1.37,4.61,0.04,-22.74,0.45,10.6,0.86,0.38,0.56,0.26,0.04,NA,2.17,0.14,NA,0.45,NA,0.24,3.89,16.52,29.56,82.77,NA,8.91,NA,29.34,84.46,NA,141.72,160.16,179.96,3.89,25.68,70.44
349,785M,Marine,AQUE,AQUE,20,3,B,6/5/17,J,N,1,Reef,1.43,3.93,0.05,-23.04,0.64,13.75,1.5,0.96,1.01,0.47,0.02,0.07,2.15,0.03,0.05,0.32,0.37,0.19,3.6,15.21,28,82.09,NA,10.44,NA,34.19,85.78,NA,142.99,161.48,181.22,3.6,24.4,72
350,786M,Marine,AQUE,AQUE,20,4,T,6/5/17,J,N,1,Reef,1.23,3.82,0.04,-21.14,0.38,9.31,1.09,0.42,0.79,0.28,0.01,NA,2.86,0.05,NA,0.54,0.35,0.24,3.53,15.36,28.5,82.75,NA,10.63,NA,33.97,85.01,NA,141.6,160.1,179.96,3.53,24.97,71.5
351,787M,Marine,AQUE,AQUE,20,2,B,6/5/17,J,N,1,Reef,0.9,4.09,0.04,-22.28,0.36,9.93,0.89,0.32,0.66,0.21,0.02,NA,3.19,0.11,NA,0.57,0.31,0.18,0,0,8.47,70.63,NA,59.87,NA,71.67,103.11,NA,161.67,183.03,208.61,0,8.47,91.53
352,788M,Marine,AQUE,AQUE,20,2,T,6/5/17,J,N,1,Reef,1.38,3.75,0.05,-22.96,0.56,11.29,0.85,0.48,0.55,0.27,0.02,NA,2.01,0.08,NA,0.46,NA,0.22,4.18,17.04,29.46,82.13,NA,8.21,NA,27.71,85.2,NA,143.03,161.58,181.39,4.18,25.28,70.54
353,789M,Marine,AQUE,AQUE,20,1,B,6/5/17,J,N,1,Reef,1.16,4.85,0.04,-22.67,0.46,10.48,1.67,0.76,1.19,0.45,0.03,NA,2.66,0.07,NA,0.44,0.41,0.24,3.19,13.52,22.55,75.48,NA,12.1,NA,45.86,94.32,NA,155.87,177.48,203.64,3.19,19.36,77.45
354,790M,Marine,AQUE,AQUE,20,1,T,6/5/17,J,N,1,Reef,1.37,4.51,0.05,-21.9,0.59,11.05,0.99,0.58,0.63,0.34,0.02,0.09,1.87,0.05,0.09,0.44,NA,0.24,4.22,18.66,32.35,83.74,NA,7.74,NA,24.1,82.06,NA,139.9,158.67,178.78,4.22,28.13,67.65
355,708M,Marine,IVEE,IVEE,20,1,T,6/5/17,J,N,2,Reef,0.85,4.93,0.04,-21.49,0.31,8.32,0.82,0.26,0.66,0.16,NA,NA,4.13,NA,NA,NA,0.31,0.16,2.8,10.87,16.53,47.76,NA,14.64,NA,60.47,128.97,NA,279.02,359.29,438.56,2.8,13.72,83.47
356,709M,Marine,IVEE,IVEE,20,2,T,6/5/17,J,N,2,Reef,0.97,3.52,0.03,-21.76,0.24,7.93,0.63,0.16,0.45,0.17,0.01,NA,2.59,0.06,NA,0.56,0.26,0.25,2.74,10.35,16.14,48.31,NA,16.58,NA,61.72,127.93,NA,263.07,339.73,422.34,2.74,13.39,83.86
357,710M,Marine,IVEE,IVEE,20,3,T,6/5/17,J,N,2,Reef,1.1,8.42,0.04,-21.66,0.37,9.25,0.48,0.17,0.37,0.11,NA,NA,3.46,NA,NA,1.07,0.27,0.19,2.87,11.17,17.38,51.93,NA,14.18,NA,57.97,121.74,NA,247.11,322.26,409.07,2.87,14.51,82.62
358,711M,Marine,IVEE,IVEE,20,4,T,6/5/17,J,N,2,Reef,1.03,3.34,0.04,-21.86,0.32,8.57,0.66,0.21,0.52,0.14,NA,NA,3.73,NA,NA,0.89,0.34,0.24,3.06,11.44,17.82,51.47,NA,13.27,NA,56.57,122.43,NA,255.73,335.58,420.31,3.06,14.76,82.18
359,714M,Marine,IVEE,IVEE,20,1,B,6/5/17,J,N,2,Reef,1.25,4.34,0.04,-22.44,0.47,13.23,1.17,0.55,0.95,0.2,0.01,NA,4.66,0.06,NA,NA,0.32,0.3,2.77,10.92,16.67,45.54,NA,14.63,NA,59.65,133.2,NA,290.29,369.45,445.94,2.77,13.9,83.33
360,715M,Marine,IVEE,IVEE,20,2,B,6/5/17,J,N,2,Reef,1.06,4.1,0.03,-22.11,0.35,10.81,0.55,0.19,0.39,0.12,0.04,NA,3.19,0.31,NA,NA,0.4,0.29,2.96,10.9,16.68,46.61,NA,14.39,NA,59.77,131.14,NA,288.13,367.35,444.24,2.96,13.72,83.32
361,716M,Marine,IVEE,IVEE,20,3,B,6/5/17,J,N,2,Reef,1.28,7.38,0.04,-21.89,0.46,11.61,0.63,0.29,0.48,0.13,0.02,NA,3.65,0.18,NA,NA,0.43,0.28,2.91,11.33,17.74,47.35,NA,14.07,NA,56.11,130.06,NA,301.92,379.28,453.49,2.91,14.83,82.26
362,717M,Marine,IVEE,IVEE,20,4,B,6/5/17,J,N,2,Reef,1.23,4.81,0.05,-22.85,0.62,13.07,1.26,0.78,0.93,0.29,0.04,NA,3.25,0.13,NA,0.5,0.37,0.18,3,13.08,19.91,49.06,NA,11.31,NA,46.3,126.75,NA,277.73,357.8,437.23,3,16.9,80.09
363,724M,MarineRunoff,REFU,REFU,20,4,T,6/5/17,J,M,1,Reef,1.49,4.21,0.05,-23.47,0.58,11.21,2.08,1.2,1.34,0.67,0.07,0.11,1.99,0.1,0.05,0.33,0.46,0.17,4.04,17.69,28.83,70.83,NA,7.95,NA,25.82,92.94,NA,183.75,231.19,330.62,4.04,24.79,71.17
364,725M,MarineRunoff,REFU,REFU,20,4,B,6/5/17,J,M,1,Reef,1.31,4.85,0.04,-24.24,0.54,12.41,2.2,1.19,1.55,0.61,0.04,0.12,2.55,0.07,0.05,0.36,0.35,0.19,4.09,17.24,29.07,73.72,NA,8.1,NA,27.94,90.26,NA,171.3,206.35,265.61,4.09,24.98,70.93
365,726M,MarineRunoff,REFU,REFU,20,3,B,6/5/17,J,M,1,Reef,2.04,4.24,0.05,-23.08,0.59,11.8,2.66,1.56,1.84,0.72,0.1,0.15,2.56,0.14,0.06,0.41,0.37,0.21,4.4,20.15,33.09,75.61,NA,6.93,NA,21.13,85.71,NA,168.2,205.26,273.03,4.4,28.69,66.91
366,727M,MarineRunoff,REFU,REFU,20,2,T,6/5/17,J,M,1,Reef,1.81,4.14,0.05,-24.42,0.67,13.13,1.18,0.8,0.77,0.36,0.05,0.09,2.13,0.12,0.08,0.55,0.4,0.24,4.3,18.24,31.55,74.66,NA,7.73,NA,25.25,87.6,NA,169.01,202.65,258.02,4.3,27.25,68.45
367,728M,MarineRunoff,REFU,REFU,20,2,B,6/5/17,J,M,1,Reef,3.2,3.89,0.08,-25.47,1.11,14.56,3.07,3.43,2.17,0.84,0.06,0.16,2.58,0.07,0.05,0.35,0.43,0.23,3.89,19.79,32.39,73.42,NA,7.63,NA,21.97,87.64,NA,180.34,231.96,341.78,3.89,28.5,67.61
368,729M,MarineRunoff,REFU,REFU,20,1,T,6/5/17,J,M,1,Reef,2.38,3.36,0.07,-25.09,1.02,14.31,2.36,2.42,1.71,0.59,0.06,0.14,2.91,0.1,0.06,0.37,0.29,0.19,4.59,20.9,34.21,75.63,NA,6.67,NA,20.42,85.18,NA,166.99,201.07,259.75,4.59,29.62,65.79
369,730M,MarineRunoff,REFU,REFU,20,1,B,6/5/17,J,M,1,Reef,1.43,4.09,0.04,-23.33,0.42,10.74,1.93,0.82,1.35,0.56,0.02,0.11,2.4,0.04,0.06,0.24,0.26,0.19,3.6,14.85,24.55,67.19,NA,9.84,NA,36.79,98.68,NA,195.28,249.75,358.75,3.6,20.95,75.45
370,731M,MarineRunoff,REFU,REFU,20,3,T,6/5/17,J,M,1,Reef,1.51,4.48,0.05,-23.53,0.6,11.27,2.72,1.62,1.99,0.68,0.05,0.1,2.95,0.07,0.04,0.23,0.22,0.22,3.86,16.15,26.87,70.54,NA,8.93,NA,30.63,94.11,NA,185.18,234.59,341.66,3.86,23.01,73.13
371,793M,MarineRunoff,REFU,REFU,10,1,T,6/5/17,J,M,1,Reef,1.61,2.19,0.03,-20.37,0.5,14.78,0.22,0.11,0.17,0.05,0.01,NA,3.46,0.24,NA,1.68,NA,0.19,3.32,16.32,24.56,40.85,NA,8.93,NA,30.18,165.7,NA,413.63,463.34,495.98,3.32,21.23,75.44
372,794M,MarineRunoff,REFU,REFU,10,2,T,6/5/17,J,M,1,Reef,1.13,3.59,0.03,-21.54,0.36,11.82,0.05,0.02,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93,9.87,14.58,21.98,NA,17.52,NA,74.93,469.78,NA,1086.53,1288.86,1511.23,1.93,12.65,85.42
373,795M,MarineRunoff,REFU,REFU,10,3,T,6/5/17,J,M,1,Reef,1.78,3.9,0.03,-21.74,0.31,11.7,0.27,0.08,0.2,0.06,NA,NA,3.11,NA,NA,NA,NA,NA,1.59,6.81,10.31,23.54,NA,32.96,NA,98.02,202.3,NA,411.44,462.09,495.43,1.59,8.71,89.69
374,796M,MarineRunoff,REFU,REFU,10,4,T,6/5/17,J,M,1,Reef,1.15,4.68,0.03,-22.12,0.36,11.99,0.04,0.01,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32,10.92,16.35,30.39,NA,15.05,NA,62.15,193.63,NA,413.58,463.26,495.9,2.32,14.03,83.65
375,799M,MarineRunoff,REFU,REFU,10,1,B,6/5/17,J,M,1,Reef,0.86,3,0.02,-22.72,0.25,12.68,0.17,0.04,0.02,0.14,NA,NA,0.15,NA,NA,NA,NA,0.16,0,1.37,4.13,10.87,NA,93.13,NA,167.41,448.69,NA,908.35,1077.07,1280.98,0,4.13,95.87
376,800M,MarineRunoff,REFU,REFU,10,2,B,6/5/17,J,M,1,Reef,1.21,4.23,0.03,-23.39,0.43,13.76,0.09,0.04,0.05,0.04,NA,NA,1.21,NA,NA,NA,NA,0.49,18.15,91.29,99.95,100,NA,2.17,NA,3.57,10.52,NA,29.43,36.75,43.95,18.15,81.8,0.05
377,801M,MarineRunoff,REFU,REFU,10,3,B,6/5/17,J,M,1,Reef,0.77,3.37,0.02,-21.11,0.22,10.78,0.1,0.02,0.07,0.04,NA,NA,1.83,NA,NA,1.93,NA,NA,17.2,84.59,99.74,100,NA,2.15,NA,3.66,11.84,NA,36.79,43.8,50.85,17.2,82.54,0.26
378,802M,MarineRunoff,REFU,REFU,10,4,B,6/5/17,J,M,1,Reef,0.77,2.8,0.02,-20.64,0.21,10.25,0.24,0.05,0.17,0.08,NA,NA,2.21,NA,NA,1.91,NA,0.27,19.09,81.27,98.3,100,NA,1.87,NA,3.34,11.37,NA,41.99,50.87,60.7,19.09,79.21,1.7
379,1050E,Estuarine,GOSL,GOSL,NA,1,T,6/8/17,K,O,2,Estuary,0.39,-1.44,0.01,-21.71,0.07,7,0.99,0.07,0.81,0.15,0.02,NA,5.28,0.11,NA,NA,NA,0.25,0,0,1.07,5.37,NA,148,NA,222.04,332.74,NA,468.85,493.31,543.32,0,1.07,98.93
380,1051E,Estuarine,GOSL,GOSL,NA,1,B,6/8/17,K,O,2,Estuary,0.32,-2.58,0.01,-23.92,0.05,5,0.65,0.03,0.59,0.07,NA,NA,8.74,NA,NA,NA,NA,NA,0,0,0.68,4.22,NA,164.71,NA,226.12,332.98,NA,468.91,493.33,543.38,0,0.68,99.32
381,1052E,Estuarine,GOSL,GOSL,NA,2,T,6/8/17,K,O,2,Estuary,1.13,-0.15,0.03,-22.09,0.29,9.67,0.97,0.28,0.66,0.2,0.11,NA,3.35,0.54,NA,0.34,0.23,0.2,2.22,9.74,14.51,30.09,NA,17.5,NA,75.79,168.24,NA,365.21,426.12,479.63,2.22,12.3,85.49
382,1053E,Estuarine,GOSL,GOSL,NA,2,B,6/8/17,K,O,2,Estuary,1.45,2.44,0.05,-24.29,0.58,11.6,2.23,1.29,1.21,0.58,0.44,0.12,2.09,0.75,0.07,0.17,0.32,0.21,3.42,19.09,28.15,48.63,NA,8.27,NA,22.6,128.17,NA,319.92,391.69,462.05,3.42,24.73,71.85
383,1054E,Estuarine,GOSL,GOSL,NA,3,T,6/8/17,K,O,2,Estuary,3.7,3.43,0.1,-24.76,1.16,11.6,4.42,5.12,2.82,1.18,0.41,0.49,2.39,0.35,0.12,0.23,0.34,0.21,13.53,53.82,77.04,95.23,NA,2.35,NA,4.66,26.28,NA,97.89,123.26,150.99,13.53,63.51,22.96
384,1055E,Estuarine,GOSL,GOSL,NA,3,B,6/8/17,K,O,2,Estuary,4.58,0.64,0.12,-24.4,1.63,13.58,2.46,4.02,1.63,0.63,0.2,0.17,2.59,0.32,0.07,0.75,0.47,0.3,14.93,61.29,85.38,98.34,NA,2.24,NA,4.19,19.14,NA,75.52,95.3,117.25,14.93,70.46,14.62
385,1056E,Estuarine,GOSL,GOSL,NA,4,T,6/8/17,K,O,2,Estuary,3.6,-4.48,0.09,-25.64,1.65,18.33,3.98,6.57,2.52,1.23,0.23,0.48,2.04,0.19,0.13,0.2,0.16,0.24,9.17,45.03,71.08,97.1,NA,3.1,NA,7.4,36.67,NA,96.32,113.67,132.17,9.17,61.91,28.92
386,1057E,Estuarine,GOSL,GOSL,NA,4,B,6/8/17,K,O,2,Estuary,2.64,2.09,0.09,-26.54,1.27,14.11,3.58,4.53,1.92,1.24,0.42,0.28,1.54,0.34,0.09,0.2,NA,0.23,8.11,40.72,65.04,93.31,NA,3.42,NA,8.32,42.64,NA,112,133.89,158.36,8.11,56.93,34.96
387,1058E,Estuarine,ABUR E,ABUR E,NA,1,T,6/12/17,K,O,3,Estuary,0.35,-2.2,0.01,-29.33,0.12,12,0.36,0.04,0.33,0.02,NA,NA,13.58,0.18,NA,NA,NA,NA,0,0,0,0,NA,238.66,NA,277.71,409.13,NA,739.74,859.06,1002.49,0,0,100
388,1059E,Estuarine,ABUR E,ABUR E,NA,1,B,6/12/17,K,O,3,Estuary,0.24,-2.91,0.01,-24.71,0.05,5,0.46,0.02,0.39,0.07,NA,NA,5.42,NA,NA,NA,NA,NA,0,0,0,0,NA,246.85,NA,293.27,453.54,NA,835.51,967.32,1125.79,0,0,100
389,1060E,Estuarine,ABUR E,ABUR E,NA,2,T,6/12/17,K,O,3,Estuary,0.38,-2.2,0.01,-24.39,0.07,7,2.42,0.16,1.45,0.25,0.73,NA,5.91,2.95,NA,NA,0.43,0.29,0,0,0,3.17,NA,156.37,NA,201.89,315.86,NA,462.06,489.71,535.57,0,0,100
390,1061E,Estuarine,ABUR E,ABUR E,NA,2,B,6/12/17,K,O,3,Estuary,0.24,-0.11,0,-19.3,0.05,#DIV/0!,0.1,0.01,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,0,0,1.01,4.61,NA,148.88,NA,202.42,318.67,NA,463.21,490.31,536.87,0,1.01,98.99
391,1062E,Estuarine,ABUR E,ABUR E,NA,3,T,6/12/17,K,O,3,Estuary,6.65,6.66,0.25,-25.39,3.52,14.08,3.37,11.85,1.86,0.88,0.63,0.37,2.11,0.71,0.13,0.17,0.32,0.28,8.53,42.63,67.61,86.88,NA,3.28,NA,7.94,39.28,NA,161.32,286.51,396.43,8.53,59.08,32.39
392,1063E,Estuarine,ABUR E,ABUR E,NA,3,B,6/12/17,K,O,3,Estuary,3.28,2.37,0.09,-25.22,1.24,13.78,2.93,3.65,1.63,0.75,0.56,0.19,2.18,0.75,0.08,0.25,0.34,0.3,7.8,33.58,50.41,66.45,NA,3.52,NA,9.34,61.54,NA,350.9,418.48,476.22,7.8,42.61,49.59
393,612M,MarineRunoff,ABUR,ABUR,10,1,T,6/13/17,J,M,3,Reef,1,5.37,0.02,-19.74,0.16,7.22,0.64,0.1,0.54,0.09,0.02,NA,6,0.17,NA,NA,0.25,NA,0,0,2.21,47.91,NA,75.76,NA,90,127.33,NA,197.1,222.79,250.87,0,2.21,97.79
394,613M,MarineRunoff,ABUR,ABUR,10,2,B,6/13/17,J,M,3,Reef,2.51,5.42,0.02,-21.26,0.26,11.19,0.53,0.14,0.43,0.09,0.01,NA,4.81,0.06,NA,1.16,0.22,0.19,0,0,2.7,47.47,NA,74.52,NA,89.34,127.84,NA,198.53,226.18,257.33,0,2.7,97.3
395,614M,MarineRunoff,ABUR,ABUR,10,2,T,6/13/17,J,M,3,Reef,1.01,3.76,0.03,-22.65,0.5,15.77,0.64,0.32,0.49,0.12,0.03,NA,4.17,0.26,NA,NA,0.27,0.2,0,0,2.44,47.39,NA,75.07,NA,89.66,127.91,NA,198.35,225.88,256.57,0,2.44,97.56
396,615M,MarineRunoff,ABUR,ABUR,10,1,B,6/13/17,J,M,3,Reef,1.27,0.8,0.02,-22.93,0.24,10.74,0.79,0.19,0.63,0.15,0.01,NA,4.3,0.07,NA,0.79,0.27,0.12,1.63,9.61,15.13,57.45,NA,20.98,NA,64.72,115.99,NA,188.38,211.9,238.68,1.63,13.5,84.87
397,617M,MarineRunoff,ABUR,ABUR,10,3,T,6/13/17,J,M,3,Reef,0.89,5.99,0.03,-22.35,0.26,9.28,0.97,0.25,0.71,0.21,0.05,NA,3.32,0.23,NA,0.44,0.27,0.17,0.45,8.09,14.51,55.9,NA,27.21,NA,66.91,117.72,NA,190.33,215.58,243.59,0.45,14.06,85.49
398,618M,MarineRunoff,ABUR,ABUR,10,4,T,6/13/17,J,M,3,Reef,0.56,1.93,0.02,-20.7,0.15,7.53,0.63,0.09,0.54,0.09,0.01,NA,6.2,0.07,NA,NA,NA,NA,0,0,1.35,45.01,NA,79.06,NA,92.94,130.45,NA,199.72,226.93,256.98,0,1.35,98.65
399,619M,MarineRunoff,ABUR,ABUR,10,3,B,6/13/17,J,M,3,Reef,2.31,2.73,0.04,-22.56,0.68,17.83,0.17,0.12,0.12,0.04,0.01,NA,2.82,0.29,NA,1.75,NA,NA,0,0,2.27,44.78,NA,76.63,NA,91.67,130.95,NA,204.59,233.34,269.66,0,2.27,97.73
400,623M,MarineRunoff,ABUR,ABUR,10,4,B,6/13/17,J,M,3,Reef,1.27,3.46,0.04,-23.16,0.88,22.02,0.35,0.31,0.26,0.08,0.01,NA,3.22,0.1,NA,NA,0.28,0.19,0,0,2.72,47.57,NA,74.39,NA,89.18,127.73,NA,198.71,226.58,258.15,0,2.72,97.28
401,638M,MarineRunoff,ABUR,ABUR,20,4,B,6/13/17,J,M,3,Reef,1.87,3.49,0.05,-23.71,0.75,15.81,1.48,1.11,0.97,0.49,0.02,0.07,1.96,0.04,0.05,0.32,0.28,0.16,4.04,16.73,29.78,80.33,NA,8.4,NA,28.53,85.41,NA,147.81,169.51,196.03,4.04,25.74,70.22
402,639M,MarineRunoff,ABUR,ABUR,20,4,T,6/13/17,J,M,3,Reef,1.26,3.26,0.04,-22.63,0.48,10.97,0.72,0.35,0.5,0.21,0.01,NA,2.38,0.07,NA,0.45,0.35,0.16,3.82,15.21,30.3,85.07,NA,9.77,NA,34.61,81.55,NA,137.09,155.74,176.17,3.82,26.49,69.7
