Line,Sample_ID,mean_RFU,BF_cor,Conc,Site,Year,Sample_ID,Replicate,Treatment
15,Red1,279391.44,259237.612,0.902907699,GOLB,2018,Red,1,Experimental
16,Red2,272711.352,252557.524,0.879381292,GOLB,2018,Red,2,Experimental
17,Yellow1,78371.60833,58217.78033,0.19494182,GOLB,2018,Yellow,1,Experimental
18,Yellow2,83889.39,63735.562,0.214374734,GOLB,2018,Yellow,2,Experimental
1,BeforeA,91029.808,77524.678,0.21371573,GOLB,2019,Before,1,Before
2,BeforeB,88204.786,74699.656,0.20461304,GOLB,2019,Before,2,Before
3,BlackA,81040.076,67534.946,0.18152713,GOLB,2019,Black,1,Control
4,blackB,87245.01,73739.88,0.20152048,GOLB,2019,Black,2,Control
5,BlBA,182820.292,169315.162,0.50948014,GOLB,2019,BlB,1,NA
6,BLBB,173669.64,160164.51,0.4799952,GOLB,2019,BLB,2,NA
7,BlueA,79212.386,65707.256,0.17563801,GOLB,2019,Blue,1,Control
8,BlueB,80960.116,67454.986,0.18126949,GOLB,2019,Blue,2,Control
9,Bwa,509886.814,496381.684,1.56334359,GOLB,2019,Bw,1,NA
10,BWb,503432.114,489926.984,1.54254546,GOLB,2019,BW,2,NA
11,GreenA,90597.89,77092.76,0.21232402,GOLB,2019,Green,1,Control
12,GreenB,84526.552,71021.422,0.19276115,GOLB,2019,Green,2,Control
13,LBlueA - yesterday,195308.512,181803.382,0.54971929,GOLB,2019,Lblue,1,NA
14,LBlueB - yesterday,200920.722,187415.592,0.56780278,GOLB,2019,Lblue,2,NA
15,PinkA,603625.736,590120.606,1.8653862,GOLB,2019,Pink,1,Experimental
16,PinkB,595015.26,581510.13,1.83764179,GOLB,2019,Pink,2,Experimental
17,PurpleA,89377.622,75872.492,0.20839211,GOLB,2019,Purple,1,Control
18,PurpleB,84506.88,71001.75,0.19269776,GOLB,2019,Purple,2,Control
19,RedA,125775.566,112270.436,0.32567242,GOLB,2019,Red,1,Experimental
20,RedB,125375.59,111870.46,0.32438363,GOLB,2019,Red,2,Experimental
21,WhiteA - yesterday,162059.1,148553.97,0.44258408,GOLB,2019,White,1,NA
22,WhiteB - yesterday,165006.704,151501.574,0.45208176,GOLB,2019,White,2,NA
23,YellowA,212351.432,198846.302,0.60463445,GOLB,2019,Yellow,1,Experimental
24,YellowB,217594.928,204089.798,0.62152988,GOLB,2019,Yellow,2,Experimental
1,Before 1,812630.324,804605.342,2.444535928,GOSL,2017,Before,1,Before
2,Before2,834848.46,826823.478,2.510797405,GOSL,2017,Before,2,Before
3,George 1,19751.646,11726.664,0.079922054,GOSL,2017,George,1,Experimental
4,George 2,26302.962,18277.98,0.099460141,GOSL,2017,George,2,Experimental
5,John 1,63822.582,55797.6,0.211355462,GOSL,2017,John,1,Control
6,John 2,43786.578,35761.596,0.151601789,GOSL,2017,John,2,Control
7,Paul 1,383578.038,375553.056,1.164966914,GOSL,2017,Paul,1,Experimental
8,Paul 2,370658.808,362633.826,1.126437702,GOSL,2017,Paul,2,Experimental
9,Ringo  2,17324.362,9299.38,0.072683129,GOSL,2017,Ringo,1,Experimental
10,Ringo 1,21023.772,12998.79,0.083715935,GOSL,2017,Ringo,2,Experimental
11,Yoko 1,405530.67,397505.688,1.230436575,GOSL,2017,Yoko,1,Experimental
12,Yoko 2,422526.632,414501.65,1.281123885,GOSL,2017,Yoko,2,Experimental
1,Before1,677792.546,664987.676,2.233783858,GOSL,2018,Before,1,Before
2,Before2,696760.422,683955.552,2.297999025,GOSL,2018,Before,2,Before
3,Black1,656041.046,643236.176,2.160144817,GOSL,2018,Black,1,Control
4,Black2,648084.582,635279.712,2.13320845,GOSL,2018,Black,2,Control
5,Blue1,687704.42,674899.55,2.267340206,GOSL,2018,Blue,1,Control
6,Blue2,680495.808,667690.938,2.242935669,GOSL,2018,Blue,2,Control
7,Green1,678168.208,665363.338,2.23505565,GOSL,2018,Green,1,Control
8,Green2,697035.946,684231.076,2.298931803,GOSL,2018,Green,2,Control
9,Orange1,369632.328,356827.458,1.190516819,GOSL,2018,Orange,1,Experimental
10,Orange2,357155.922,344351.052,1.148278326,GOSL,2018,Orange,2,Experimental
11,Pink1,393893.928,381089.058,1.272653727,GOSL,2018,Pink,1,Experimental
12,Pink2,415953.602,403148.732,1.347336082,GOSL,2018,Pink,2,Experimental
13,Purple1,667514.634,654709.764,2.1989883,GOSL,2018,Purple,1,Control
14,Purple2,697395.208,684590.338,2.300148074,GOSL,2018,Purple,2,Control
15,Red1,332736.028,319931.158,1.065605518,GOSL,2018,Red,1,Experimental
16,Red2,332232.558,319427.688,1.063901036,GOSL,2018,Red,2,Experimental
17,Yellow1,181815.5517,169010.6817,0.554668839,GOSL,2018,Yellow,1,Experimental
18,Yellow2,179491.206,166686.336,0.546799837,GOSL,2018,Yellow,2,Experimental
1,BeforeA,41127.59,30766.15,0.06420442,GOSL,2019,Before,1,Before
2,BeforeB,40376.452,30015.012,0.061681875,GOSL,2019,Before,2,Before
3,BlackA,54557.178,44195.738,0.10930496,GOSL,2019,Black,1,Control
4,BlackB,56279.558,45918.118,0.115089223,GOSL,2019,Black,2,Control
5,BlueA,46366.332,36004.892,0.081797669,GOSL,2019,Blue,1,Control
6,BlueB,45480.668,35119.228,0.078823347,GOSL,2019,Blue,2,Control
7,BWA,584295.808,573934.368,1.888324438,GOSL,2019,BW,1,NA
8,BWB,577428.634,567067.194,1.865262431,GOSL,2019,BW,2,NA
9,GreenA,71124.748,60763.308,0.164943775,GOSL,2019,Green,1,Control
10,GreenB,61384.124,51022.684,0.13223187,GOSL,2019,Green,2,Control
11,LBlueA,282453.048,272091.608,0.874646902,GOSL,2019,Lblue,1,NA
12,LBlueB,258459.454,248098.014,0.794069295,GOSL,2019,Lblue,2,NA
13,OrangeA,100457.976,90096.536,0.263453457,GOSL,2019,Orange,1,Experimental
14,OrangeB,94163.29,83801.85,0.242314034,GOSL,2019,Orange,2,Experimental
15,PinkA,254121.592,243760.152,0.779501468,GOSL,2019,Pink,1,Experimental
16,PinkB,246212.14,235850.7,0.752939181,GOSL,2019,Pink,2,Experimental
17,PurpleA,87835.288,77473.848,0.221062726,GOSL,2019,Purple,1,Control
18,PurpleB,82961.6,72600.16,0.204695436,GOSL,2019,Purple,2,Control
19,YellowA,478967.114,468605.674,1.534599436,GOSL,2019,Yellow,1,Experimental
20,YellowB,496945.69,486584.25,1.594976828,GOSL,2019,Yellow,2,Experimental
1,Before1,40551.682,23227.96,0.088037928,MICR,2017,Before,1,Before
2,Before2,37049.182,19725.46,0.075961175,MICR,2017,Before,2,Before
3,George1,229813.966,212490.244,0.740621488,MICR,2017,George,1,Experimental
4,George2,214249.848,196926.126,0.686955817,MICR,2017,George,2,Experimental
5,John1,395110.752,377787.03,1.310571099,MICR,2017,John,1,Experimental
6,John2,400518.846,383195.124,1.329218413,MICR,2017,John,2,Experimental
7,Paul1,261830.824,244507.102,0.851016833,MICR,2017,Paul,1,Experimental
8,Paul2,258392.976,241069.254,0.839163003,MICR,2017,Paul,2,Experimental
9,Ringo1,252134.644,234810.922,0.817584036,MICR,2017,Ringo,1,Experimental
10,Ringo2,260276.686,242952.964,0.845658106,MICR,2017,Ringo,2,Experimental
11,Yoko1,43424.33,26100.608,0.097942928,MICR,2017,Yoko,1,Control
12,Yoko2,42493.178,25169.456,0.094732281,MICR,2017,Yoko,2,Control
1,Before1,270708.576,258499.708,0.899130837,MICR,2018,Before,1,Before
