Analysis_ID,Sample_ID,raw_DOC,sd_DOC,raw_TDN,sd_TDN,Site,Year,Replicate,Treatment
8.21.18-Before,Before,158.66,1.12,12.38,0.32,GOSL,2018,NA,Before
8.21.18-Pink,Pink,144.97,1.37,11.60,0.08,GOSL,2018,NA,Experimental
8.21.18-Red,Red,142.75,1.00,10.52,0.13,GOSL,2018,NA,Experimental
8.21.18-Orange,Orange,144.97,1.26,10.02,0.24,GOSL,2018,NA,Experimental
8.21.18-Yellow,Yellow,141.65,1.44,10.45,0.49,GOSL,2018,NA,Experimental
8.21.18-Green,Green,163.77,0.92,11.48,0.15,GOSL,2018,NA,Control
8.21.18-Blue,Blue,163.61,0.38,12.87,0.25,GOSL,2018,NA,Control
8.21.18-Purple,Purple,161.23,1.85,12.39,0.12,GOSL,2018,NA,Control
8.21.18-Black,Black,161.23,0.87,12.40,0.18,GOSL,2018,NA,Control
8.22.18-Before,Before,67.44,0.44,5.05,0.14,GOLB,2018,NA,Before
8.22.18-Pink,Pink,80.84,1.03,6.36,0.33,GOLB,2018,NA,Experimental
8.22.18-Red,Red,100.48,0.60,8.18,0.15,GOLB,2018,NA,Experimental
8.22.18-Orange,Orange,83.69,1.04,6.72,0.29,GOLB,2018,NA,Experimental
8.22.18-Yellow,Yellow,85.54,1.27,6.58,0.12,GOLB,2018,NA,Experimental
8.22.18-Green,Green,71.48,0.90,5.08,0.14,GOLB,2018,NA,Control
8.22.18-Blue,Blue,71.45,1.12,5.35,0.06,GOLB,2018,NA,Control
8.22.18-Purple,Purple,68.93,1.03,4.80,0.08,GOLB,2018,NA,Control
8.22.18-Black,Black,68.90,1.16,5.74,0.42,GOLB,2018,NA,Control
8.13.19-Before,Before,76.46,1.49,5.23,0.25,MICR,2019,NA,Before
8.13.19-Pink,Pink,93.90,1.21,9.30,0.17,MICR,2019,NA,Experimental
8.13.19-Orange,Orange,90.24,0.47,7.35,0.20,MICR,2019,NA,Experimental
8.13.19-Yellow,Yellow,82.64,0.20,7.31,0.15,MICR,2019,NA,Experimental
8.13.19-Green,Green,84.14,1.06,6.26,0.23,MICR,2019,NA,Control
8.13.19-Blue,Blue,83.65,0.50,5.98,0.25,MICR,2019,NA,Control
8.13.19-Purple,Purple,87.20,1.22,5.54,0.08,MICR,2019,NA,Control
8.13.19-Black,Black,79.82,0.31,5.39,0.69,MICR,2019,NA,Control
8.13.19-Black/White,Black/White,109.90,1.28,11.11,0.73,MICR,2019,NA,NA
8.13.19-L. Blue,Light Blue,100.91,1.87,8.25,0.48,MICR,2019,NA,NA
8.6.19-Before,Before,92.30,0.44,6.19,0.35,GOSL,2019,NA,Before
8.6.19-Pink,Pink,92.03,0.65,6.29,0.07,GOSL,2019,NA,Experimental
8.6.19-Orange,Orange,92.52,1.62,6.27,0.13,GOSL,2019,NA,Experimental
8.6.19-Yellow,Yellow,91.42,1.20,7.21,0.23,GOSL,2019,NA,Experimental
8.6.19-Green,Green,99.61,1.98,7.08,0.11,GOSL,2019,NA,Control
8.6.19-Blue,Blue,97.89,1.05,6.26,0.22,GOSL,2019,NA,Control
8.6.19-Purple,Purple,106.24,1.78,7.54,0.15,GOSL,2019,NA,Control
8.6.19-Black,Black,124.42,0.96,10.61,0.09,GOSL,2019,NA,Control
8.6.19-Black/White,Black/White,119.13,0.42,10.61,0.07,GOSL,2019,NA,NA
8.6.19-L. Blue,Light Blue,155.73,1.44,7.55,0.37,GOSL,2019,NA,NA
8.6.19-Black/ L.Blue,Black/Light Blue,107.51,0.23,8.57,0.38,GOSL,2019,NA,NA
8.6.19-White,White,106.21,0.31,6.01,0.12,GOSL,2019,NA,NA
8.6.19-Red,Red,91.42,0.74,6.02,0.26,GOSL,2019,NA,Experimental
8.14.19-Before,Before,71.58,0.78,6.64,0.28,ABUR,2019,NA,Before
8.14.19-Pink,Pink,96.69,1.64,9.16,0.35,ABUR,2019,NA,Experimental
8.14.19-Red,Red,89.86,0.65,6.96,0.28,ABUR,2019,NA,Experimental
8.14.19-Orange,Orange,103.63,0.76,8.42,0.41,ABUR,2019,NA,Experimental
8.14.19-Yellow,Yellow,88.11,0.83,7.47,0.34,ABUR,2019,NA,Experimental
8.14.19-Green,Green,79.76,1.29,7.39,0.24,ABUR,2019,NA,Control
8.14.19-Purple,Purple,91.32,1.21,8.26,0.37,ABUR,2019,NA,Control
8.14.19-Black,Black,77.56,0.77,6.61,0.49,ABUR,2019,NA,Control
8.14.19-White,White,217.32,4.02,8.84,0.11,ABUR,2019,NA,NA
8.14.19-L. Blue,Light Blue,216.25,1.34,6.90,0.14,ABUR,2019,NA,NA
8.15.19-Before,Before,81.70,0.82,5.84,0.21,GOLB,2019,NA,Before
8.15.19-Pink,Pink,109.80,0.52,10.84,0.35,GOLB,2019,NA,Experimental
8.15.19-Red,Red,105.37,0.42,7.89,0.32,GOLB,2019,NA,Experimental
8.15.19-Yellow,Yellow,92.75,0.83,7.04,0.11,GOLB,2019,NA,Experimental
8.15.19-Green,Green,81.64,0.77,5.93,0.24,GOLB,2019,NA,Control
8.15.19-Purple,Purple,82.01,1.35,6.17,0.14,GOLB,2019,NA,Control
8.15.19-Blue,Blue,80.63,0.42,5.75,0.09,GOLB,2019,NA,Control
8.15.19-Black,Black,90.70,0.99,7.34,0.28,GOLB,2019,NA,Control
8.15.19-L. Blue,Light Blue,136.40,2.25,11.32,0.25,GOLB,2019,NA,NA
8.15.19-Black/ L.Blue,Black/Light Blue,101.76,0.58,7.79,0.19,GOLB,2019,NA,NA
