ID,Site,Depth,Replicate,Core,Date,OM,d15N,Nitrogen,d13C,Carbon,C_N,Lambda,Sigma8,Lignin_S,Lignin_V,Lignin_C,Lignin_P,Lignin_S_V,Lignin_C_V,Lignin_P_V_S,Lignin_Bd_V,Lignin_AcAd_s,Lignin_AcAd_v
300_120,IVEE,10,2,T,2016-06-24,3.39,7.47,0.12,-19.45,1.03,7.64,0.11,0.11,0.07,0.03,,0.11,2.56,0.12,1.04,1.65,0.09,0.27
300_121,IVEE,10,1,B,2016-06-24,5.28,7.7,0.19,-20.28,2.19,11.33,0.08,0.17,0.06,0.02,,0.06,2.73,0.09,0.75,1.07,,0.21
300_122,IVEE,10,2,B,2016-06-24,1.91,6.27,0.06,-20.78,0.55,8.15,0.31,0.16,0.27,0.04,,0.14,7.12,,0.45,1.95,,
300_123,IVEE,20,1,T,2016-06-24,1.38,3.34,0.04,-22.16,0.33,8,1.15,0.37,0.96,0.17,0.01,0.23,5.56,0.07,0.2,0.59,0.09,0.16
300_124,IVEE,20,2,T,2016-06-24,1.33,4.36,0.04,-22.45,0.34,8.46,1.21,0.4,0.94,0.25,0.01,0.2,3.72,0.06,0.17,0.39,0.08,0.15
300_125,IVEE,20,1,B,2016-06-24,1.89,4.46,0.04,-22.89,0.52,15.91,0.82,0.57,0.66,0.15,0.01,0.04,4.5,0.07,0.05,0.45,0.08,0.17
300_126,IVEE,20,2,B,2016-06-24,1.47,4.47,0.04,-22.76,0.47,11.67,1.15,0.56,0.93,0.21,0.01,0.05,4.54,0.04,0.04,0.32,0.09,0.13
300_127,GOLB,10,1,T,2016-06-24,0.95,2.7,0.02,-23.74,0.2,9.63,0.83,0.22,0.64,0.18,0.01,0.14,3.47,0.03,0.17,0.41,0.1,0.16
300_128,GOLB,10,2,T,2016-06-24,0.96,3.36,0.03,-21.29,0.17,6.07,0.68,0.12,0.55,0.13,0.01,0.21,4.36,0.04,0.31,0.7,,0.19
300_129,GOLB,10,1,B,2016-06-24,0.63,2.49,0.02,-21.93,0.16,9.2,1.82,0.42,1.46,0.34,0.02,0.25,4.25,0.05,0.14,0.52,0.1,0.18
300_130,GOLB,10,2,B,2016-06-24,1.12,1.98,0.02,-21.85,0.17,7.04,1.99,0.38,1.56,0.41,0.03,0.22,3.84,0.07,0.11,0.29,0.08,0.12
300_131,GOLB,20,1,T,2016-06-24,1.18,3.89,0.03,-22.3,0.27,7.44,1.61,0.47,1.26,0.33,0.02,0.21,3.79,0.07,0.13,0.3,0.09,0.17
300_132,GOLB,20,2,T,2016-06-24,0.89,4.28,0.03,-22.23,0.23,7.27,0.67,0.16,0.45,0.21,0.01,0.19,2.1,0.05,0.29,0.4,0.15,0.16
300_133,GOLB,20,1,B,2016-06-24,0.97,4.39,0.03,-22.61,0.29,7.35,1.26,0.32,0.83,0.4,0.03,0.27,2.09,0.07,0.22,0.29,0.12,0.14
300_134,GOLB,20,2,B,2016-06-24,1.2,3.7,0.03,-22.85,0.3,9.41,1.85,0.59,1.2,0.62,0.04,0.21,1.95,0.07,0.11,0.22,0.11,0.13
300_135,ABUR,10,1,T,2016-06-24,0.99,1.96,0.02,-21.62,0.14,6.54,0.17,0.03,0.1,0.06,,0.09,1.59,0.03,0.54,0.8,,0.13
300_136,ABUR,10,2,T,2016-06-24,0.97,1.92,0.02,-21.07,0.14,9.23,0.17,0.04,0.14,0.02,,0.08,5.8,,0.47,1.44,0.09,0.13
