DateTime,Depth,NH4,NO3_NO2,DOC,Chla,Phaeo,Chla_Phaeo,Total_Chl
2018-08-07T06:00:00Z,3,1.01,0.2,84.6,0.75,0.56,1.31,1.01
2018-08-07T06:00:00Z,5,0.93,0.21,85.91,0.73,0.58,1.31,1
2018-08-07T10:00:00Z,1,1.57,0.2,93.82,0.58,0.3,0.87,0.72
2018-08-07T10:00:00Z,3,1.25,0.2,87.47,0.73,0.44,1.17,0.93
2018-08-07T10:00:00Z,5,0.96,0.2,87.17,0.97,0.6,1.57,1.25
2018-08-07T14:00:00Z,1,0.05,0.2,87.79,1.2,0.24,1.44,1.31
2018-08-07T14:00:00Z,3,0.05,0.2,87.41,1.22,0.33,1.55,1.37
2018-08-07T14:00:00Z,5,0.05,0.2,86.58,1.2,0.41,1.62,1.4
2018-08-07T18:00:00Z,1,0.56,0.2,NA,0.9,0.32,1.21,1.05
2018-08-07T18:00:00Z,3,0.31,0.2,NA,NA,NA,NA,1.08
2018-08-07T18:00:00Z,5,0.16,0.2,NA,1.09,0.35,1.45,1.26
2018-08-07T22:00:00Z,1,0.08,0.2,82.59,1.04,0.43,1.47,1.24
2018-08-07T22:00:00Z,3,0.12,0.2,83.28,1.1,0.4,1.51,1.29
2018-08-07T22:00:00Z,5,0.17,0.2,82.51,0.97,0.38,1.35,1.15
2018-08-08T02:00:00Z,1,0.56,0.26,93.77,1.23,0.55,1.78,1.52
2018-08-08T02:00:00Z,3,0.48,0.24,91.75,1.22,0.64,1.87,1.56
2018-08-08T02:00:00Z,5,0.94,0.25,91.59,1.16,1.22,2.38,1.8
2018-08-08T06:00:00Z,1,0.17,0.33,93.18,1.85,0.52,2.37,2.12
2018-08-08T06:00:00Z,3,0.46,0.26,112.4,1.48,0.49,1.97,1.74
2018-08-08T06:00:00Z,5,0.34,0.3,95.62,1.95,0.53,2.48,2.23
2018-08-08T10:00:00Z,1,0.17,0.2,126.6,1.79,0.53,2.32,2.07
2018-08-08T10:00:00Z,3,0.1,0.2,174.19,1.59,0.55,2.14,1.88
2018-08-08T10:00:00Z,5,0.12,0.2,100.6,1.61,0.71,2.32,1.98
2018-08-08T14:00:00Z,1,0.08,0.2,94.46,1.1,0.28,1.38,1.25
2018-08-08T14:00:00Z,3,0.08,0.2,92.05,0.97,0.33,1.31,1.15
2018-08-08T14:00:00Z,5,0.15,0.2,96.82,1.33,0.45,1.78,1.57
2018-08-08T18:00:00Z,1,0.08,0.2,90.15,0.8,0.18,0.98,0.89
2018-08-08T18:00:00Z,3,0.08,0.2,94.49,1.15,0.19,1.34,1.25
2018-08-08T18:00:00Z,5,0.08,0.2,92.4,1.01,0.37,1.38,1.21
