Year,Site,NH4,NO3,TDN
2017,ABUR,25.732706653911563,-9.99149659863946,NaN
2017,GOLB,37.295408646896256,11.904761904761903,NaN
2017,MICR,36.51207009637188,4.67687074829932,NaN
2018,ABUR,12.785306446641153,9.353741496598639,92.58078231292518
2018,GOLB,2.2486159970238107,8.078231292517005,73.02295918367346
2018,MICR,7.300350361394552,27.848639455782312,93.53741496598639
2019,ABUR,12.823697179705214,-18.565759637188208,24.766156462585037
2019,GOLB,31.318386887046483,21.967120181405893,97.4702380952381
2019,MICR,28.775525178925736,21.116780045351472,93.28939909297051
